Cluster,Recency,Frequency,Monetary,Customer Count,Segment Persona
0,129.9603441244441,1.0647078243644768,100.72674033363758,51493,At-Risk / Lapsed Spenders
1,390.39857109085654,1.0711039899135826,101.57000604134382,38071,Recent Low-Value Buyers
2,233.51200810185185,2.111255787037037,518.9450130208334,6912,High-Value Loyalists
